Title,Company's Name,Location,Duration,Stipend
Full Stack Development,Alkraj Developers Private Limited,Work from home,3 Months,"₹ 4,000 - 5,000 "
Full Stack Development,Sports Aid,Work from home,2 Months,"₹ 35,000 - 45,000 "
Full Stack Development,Otus AI,Work from home,2 Months,"₹ 15,000 - 15,001 "
Full Stack Development,Ridvig Technologies,Work from home,1 Month,"₹ 1,000 "
Full Stack Developer,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Full Stack Development,CSTech Infosolutions Private Limited,Bangalore,6 Months,"₹ 10,000 - 15,000 "
Full Stack Development,DeepNexus.in,Work from home,5 Months,"₹ 17,000 - 23,000 "
Full Stack Development,Maxgen Technologies Private Limited,Pune,3 Months,"₹ 7,000 - 12,000 "
Full Stack Development,RevoltronX,Work from home,6 Months,"₹ 2,000 - 5,000 "
Full Stack Development,Louder World,Delhi,6 Months,"₹ 8,000 - 12,000 "
Full Stack Development,Oddmind Innovations,Work from home,2 Months,"₹ 5,000 - 7,500 "
Full Stack Development,Naksh Jewels,Work from home,3 Months,"₹ 4,000 - 7,000 "
Full Stack Development,Digite Infotech Private Limited,Bangalore,6 Months,"₹ 15,000 - 20,000 "
Full Stack Development,WebTree Global Private Limited,Work from home,3 Months,"₹ 1,001 - 12,000 "
Full Stack Development,Brihat Infotech Private Limited,Work from home,3 Months,"₹ 3,000 - 4,000 "
Full Stack Development,BigBul,Work from home,3 Months,"₹ 2,000 "
Full Stack Development,RCS Projects Pvt Ltd,Work from home,6 Months,"₹ 10,000 - 12,000 "
Full Stack Development,WorkFission,Work from home,3 Months,"₹ 8,000 - 12,000 "
Full Stack Development,The Learn Cloud,Work from home,6 Months,"₹ 9,000 "
Full Stack Development,BVR Technosoft Solution,Gurgaon,6 Months,"₹ 12,000 "
Full Stack Development,SortWind Private Limited,Work from home,3 Months,"₹ 5,000 "
Full Stack Development,SkillifyMe,Work from home,5 Months,"₹ 3,000 - 5,000 "
Full Stack Development,InternBit,Work from home,6 Months,"₹ 25,000 - 40,000 "
Full Stack Development,BTOW Pvt. Ltd.,Work from home,3 Months,"₹ 1,000 - 1,500 "
Full Stack Development,Finflock Systems Private Limited,Work from home,6 Months,"₹ 12,000 - 14,000 "
Full Stack Development,Thoughtiv,Hyderabad,3 Months,"₹ 10,000 - 25,000 "
Full Stack Development,Scale Dev,Work from home,6 Months,"₹ 8,000 - 10,000 "
Full Stack Development,Andaz Kumar,Work from home,3 Months,"₹ 6,000 - 9,000 "
Full Stack Development,ConversAIlabs,Work from home,3 Months,"₹ 15,000 - 15,001 "
Full Stack Development,Skalebuddy Software Private Limited,Work from home,6 Months,"₹ 8,000 "
Full Stack Development,Gigde Global Solutions Private Limited,Work from home,6 Months,"₹ 7,000 - 10,000 "
Full Stack Development,Supervaisor.AI,Work from home,5 Months,"₹ 20,000 - 35,000 "
Full Stack Development,Naum Systems,Work from home,3 Months,"₹ 10,000 "
Full Stack Development,GigzGenie,Work from home,4 Months,"₹ 6,000 "
Full Stack Development,Neuralens AI,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",6 Months,"₹ 15,000 - 20,000 "
Full Stack Development,Protega,Mumbai,6 Months,"₹ 15,000 - 20,000 "
Full Stack Development,Aap Ka Bazaar Tradeweb Llp,Delhi,3 Months,"₹ 10,000 - 14,000 "
Full Stack Development,Meru Technosoft Private Limited,Ahmedabad,6 Months,"₹ 5,000 - 10,000 "
Full Stack Development,Ratio Ventures LLP,Bangalore,6 Months,"₹ 15,000 - 25,000 "
Full Stack Development,Trigrexam,Work from home,3 Months,"₹ 10,000 - 12,000 "
Full Stack Development,Vedaz,Work from home,2 Months,"₹ 5,000 "
Full Stack Development,EclipseIQ.ai,Work from home,3 Months,"₹ 11,000 - 25,000 "
Full Stack Development,KlentySoft Incorporation,Chennai,6 Months,"₹ 15,000 - 25,000 "
Full Stack Development,Clinix Sphere,Work from home,6 Months,"₹ 1,500 - 2,000 "
Full Stack Development,Openbiz,Work from home,2 Months,"₹ 20,000 - 26,000 "
Online Teaching (Full Stack),CodingZen,Work from home,3 Months,"₹ 8,000 - 15,000 "
Full Stack Developer (Next.js),Build Fast With AI,Work from home,3 Months,"₹ 7,500 "
Full Stack Web Development,CloudEye Technologies India Private Limited,Visakhapatnam,2 Months,"₹ 4,000 - 8,000 "
Full Stack & Game Developer,Sixnine Galaxies Private Limited,Work from home,4 Months,"₹ 5,000 - 10,000 "
Full Stack And Web Development,Caarya,Work from home,3 Months,"₹ 10,000 - 20,000 "
Full Stack Developer (Backend-Heavy),Big Internet E-commerce Private Limited,Work from home,3 Months,"₹ 10,000 - 12,000 "
Full Stack AI Engineer - Intern,AffinityAnswers,Work from home,6 Months,"₹ 30,000 - 35,000 "
Full Stack Development & Web Scraping,Digital Gimmick,Work from home,6 Months,"₹ 12,000 - 15,000 "
Automation Expert,Bridge2job,Work from home,3 Months,"₹ 15,000 "
Moodle Developer,Megaminds IT Services,"Warangal, Hyderabad",6 Months,"₹ 6,000 - 16,000 "
Full Stack & Backend Focus - (Versatile Software Engineer),Vsure Consultancy Services,"Thane, Navi Mumbai, Mumbai",6 Months,"₹ 10,000 - 12,000 "
Web Development,MentorBoxx,Work from home,1 Month,"₹ 10,000 "
Software Development,Techdome Solutions Private Limited,"Indore, Hyderabad",6 Months,"₹ 10,000 - 15,000 "
Web Development,Messold Technologies,Work from home,6 Months,"₹ 7,000 - 10,000 "
Software Development,CircleChess,Bangalore,6 Months,"₹ 10,000 - 15,000 "
Web Development,Break The Code,Mumbai,3 Months,"₹ 5,000 "
Web Development,Credex,Work from home,3 Months,"₹ 13,000 - 20,000 "
"Full Stack Developer With GenAI Experience (Lovable, v0)",GamutX,Work from home,3 Months,"₹ 15,000 "
Founding Full Stack Role - OutFlo.io (IIT Kharagpur Alum),OutFlo,Bangalore,6 Months,"₹ 20,000 - 25,000 "
AI Feedback Automation & Platform Integration (Full Stack + NLP),Fountainhead Prep,Work from home,2 Months,"₹ 25,000 lump sum"
Web Development,GigFloww,Work from home,3 Months,"₹ 1,000 - 5,000 "
Software Development,Troywings Technologies,Work from home,6 Months,"₹ 1,500 - 2,000 "
Web Development,Basti Ki Pathshala Foundation,Work from home,3 Months,Unpaid
Web Development,International Institute Of SDGs & Public Policy Research,Work from home,6 Weeks,Unpaid
MERN Stack Developer,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
Web Development,Loan For India,Mumbai,3 Months,"₹ 5,000 - 10,000 "
Software Development,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
SDE,Dacoid Digital,Work from home,3 Months,"₹ 20,000 - 25,000 "
"Full Stack Engineer (Next.js, React, Tailwind, Node.js, Figma, Chat)",Grinning Co.,Work from home,2 Months,"₹ 7,500 - 10,000 "
CSS/PHP/ Wordpress/CPanel/Front End/Full Stack Developers,And Media,Mumbai,1 Month,"₹ 10,000 - 20,000 "
Web Development,Maxgen Technologies Private Limited,Pune,3 Months,"₹ 7,000 - 12,000 "
"MERN Project Management Internship (Full-Time, WFH)",Tellis Technologies Private Limited,Work from home,6 Months,"₹ 5,000 - 8,000 "
Web Development,Maxgen Technologies Private Limited,Pune,2 Months,"₹ 7,000 - 12,000 "
Web Development,360 Digital Idea,Delhi,6 Months,"₹ 3,000 "
Software Development,Amber Flux Private Limited,Work from home,2 Months,"₹ 9,999 - 10,000 "
Web Development,Absolute Veritas,Faridabad,3 Months,"₹ 7,000 - 9,000 "
"NextJS, React Native And Firebase Development",Wecofy,Work from home,3 Months,"₹ 1,000 - 12,000 "
Web Development,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
Web Development,WebShark Web Services,Bangalore,6 Months,"₹ 20,000 - 25,000 "
JavaScript Development,Madrocket Technologies & Media,Work from home,3 Months,"₹ 1,000 - 5,000 "
MERN Stack Development Teaching,CipherSchools,"Chandigarh, Gurgaon, Mohali, Greater Noida, Noida",4 Months,"₹ 60,000 - 80,000 "
MERN Stack Development,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
Web Development,NDFM Business World Pvt. Ltd.,Work from home,6 Weeks,"₹ 2,000 - 5,000 "
Web Development,Visible Gain,Work from home,3 Months,"₹ 5,000 "
MERN Stack Development,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
MERN Stack Development,Maxgen Technologies Private Limited,Ahmedabad,3 Months,"₹ 7,000 - 12,000 "
MERN Stack Developer,Maxgen Technologies Private Limited,Pune,3 Months,"₹ 7,000 - 12,000 "
MERN Stack Development,Diasimos Private Limited,Ahmedabad,6 Months,"₹ 9,000 - 10,000 "
"Software Engineering (Python, React)",Better,Work from home,6 Months,"₹ 8,000 - 10,000 "
Web Development,Lohitech Solutions,Work from home,2 Months,"₹ 4,000 - 8,000 "
React/ Node Js Live Project Expert,Kaushal Ranjeet Private Limited,Work from home,3 Months,"₹ 7,000 - 12,000 "
Software Development,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Web Development,Custom Elements Private Limited,Bangalore,3 Months,"₹ 5,000 "
MERN Developer,Ziegler Aerospace,Hyderabad,6 Months,"₹ 10,000 "
Software Development Engineering (Web),URE Legal Advocates,Work from home,6 Months,"₹ 1,000 "
Software Development,JS Tigers,Work from home,6 Months,"₹ 17,280 "
AI & Machine Learning,Next Crest Media,Noida,4 Months,"₹ 20,000 - 25,000 "
Ul Stack Developer (MERN/Next.js + NestJS + Generative AI),Gyde,Work from home,6 Months,"₹ 8,000 - 15,000 "
Web Development,RedKnot,Work from home,6 Months,"₹ 5,000 - 15,000 "
Software Development,Lets Go Makkah,Work from home,6 Months,"₹ 22,000 - 25,000 "
React Native Development (iOS APP Development),Across The Globe (ATG),Work from home,6 Months,"₹ 2,500 - 4,000 "
Stock Market Research,Money Metrics 360,Work from home,2 Months,"₹ 2,000 - 5,000 "
Stock Market Analytics,Money Metrics 360,Work from home,1 Month,"₹ 1,000 - 5,000 "
Stock Market Tutor,Money Metrics 360,Work from home,2 Months,"₹ 1,000 - 4,000 "
Stock Market Operations,IArista Artha Private Limited,Mumbai,6 Months,"₹ 2,000 - 4,000 "
Stock Market Management,Taxavtaar,Delhi,6 Months,"₹ 2,000 - 4,000 "
Content Creator + Photographer (Full-Time),ToonFetti,Noida,6 Months,"₹ 7,000 - 10,000 "
Finance And Stock Market,Gravitas Masters,Work from home,1 Month,"₹ 1,000 - 1,100 "
Financial Stock Market Research,Focus Wise Solution,Work from home,1 Month,"₹ 2,000 - 4,000 "
Stock Market Learning & Outreach,Focus Wise Solution,Work from home,1 Month,"₹ 2,000 - 5,000 "
Finance And Stock Market,SMART GROW CAPITAL,Work from home,1 Month,"₹ 4,500 - 9,000 "
Stock Market Technical Analyst,Money Making Trading Courses,"Thane, Navi Mumbai, Mumbai, Vashi, Belapur, Turbhe, Panvel",3 Months,"₹ 5,000 - 8,000 "
Fundamental And Technical Trading Data Analysis,Earnwell,Work from home,2 Months,"₹ 8,000 - 21,000 "
Digital Marketing (Finance & Stock Market),Trade Brains,Bangalore,3 Months,"₹ 9,000 - 12,000 "
Equity Analyst,SDSR Consultancy Services Private Limited,Kolkata,1 Month,"₹ 10,000 - 15,000 "
Mutual Fund Back Office,Money Making Trading Courses,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",3 Months,"₹ 5,000 - 8,000 "
Trading And Investment,FNO Stock,Work from home,1 Month,"₹ 5,000 - 10,000 "
Finance,B B Advisory,Work from home,2 Months,"₹ 2,000 - 40,000 "
Finance & Accounting,Finflock Systems Private Limited,Work from home,6 Months,"₹ 12,000 - 60,000 "
Client Acquisition,Career Full,Delhi,4 Months,"₹ 2,100 - 2,102 "
Equity Analyst,Modani Financial Services,Jaipur,4 Months,"₹ 2,000 "
Trading And Investment,SMART GROW CAPITAL,Work from home,1 Month,"₹ 4,250 - 9,000 "
Financial Valuation Equity Research,Abhishek Thakkar,Ahmedabad,3 Months,"₹ 5,000 - 10,000 "
Business Development (Sales),AngelOne - Jayesh Bhanushali,Work from home,1 Month,"₹ 2,000 - 10,000 "
Behavioral Finance,SDSR Consultancy Services Private Limited,Kolkata,1 Month,"₹ 10,000 - 15,000 "
Para Financial Planner/Wealth Manager,Money Care Financial Planning,Mumbai,6 Months,"₹ 10,000 "
Finance,Affinity Wealth Management,Work from home,2 Months,"₹ 1,500 - 6,000 "
Equity Analyst,Invest Mindset,Work from home,6 Months,"₹ 5,000 - 12,000 "
Video Editing/Making,Stock Venture,Work from home,6 Months,"₹ 5,000 "
Brand Solution,Snack Media,Noida,2 Months,"₹ 5,000 - 10,000 "
Human Resources (HR),FNO Stock,Work from home,1 Month,"₹ 1,000 - 1,500 "
Quant Analyst - Algorithmic Trading,CleverBharat,Work from home,6 Months,"₹ 25,000 "
Founders Office,OPTIMUS NEXGEN WEALTH PRIVATE LIMITED,Mumbai,6 Months,"₹ 7,500 - 8,000 "
Financial Technical Analysis (Intraday Trading),Trader For Tomorrow,Work from home,2 Months,"₹ 19,000 "
Equity Research & Portfolio Management,Finoability,Work from home,2 Months,"₹ 10,000 lump sum"
Trader,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Trading Expert,Hftsolution,Work from home,6 Months,"₹ 8,000 - 12,000 "
IT Internship,Fuel It Online,"Delhi, Indore, Jodhpur, Kanpur, Kolkata, Lucknow, Patna, Udaipur, Mumbai, Varanasi, Jaipur, Noida, Bangalore, Prayagraj Sub-District",3 Months,"₹ 2,000 - 10,000 "
Capital Market,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Quant System Developer,QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida",6 Months,"₹ 15,000 - 20,000 "
Content & E-Commerce Management,Fall For Flora,Noida,4 Months,"₹ 10,000 "
Junior Data Scientist For High-Growth Web3  Trading Platform,Primetrade.ai,Work from home,6 Months,"₹ 10,000 - 15,000 "
Equity Research Analyst,Money Stories Finserve,Bangalore,6 Months,"₹ 4,000 - 12,000 "
Tender Management,Bharat Alt Fuel Private Limited (BAFL),Mumbai,6 Months,"₹ 10,000 - 15,000 "
Foreign Exchange Market,B B Advisory,Work from home,2 Months,"₹ 2,000 - 40,000 "
Patent Analyst,IPExcel Services Private Limited,Work from home,3 Months,"₹ 20,000 "
Supply Chain & Logistics Operations,Befach,Hyderabad,3 Months,"₹ 10,000 - 15,000 "
Social Media Marketing Manager,Digital Fuel 4 Growth,Work from home,3 Months,"₹ 3,000 "
Junior Python Developer For Crypto Trading Bot,Primetrade.ai,Work from home,6 Months,"₹ 10,000 - 15,000 "
Algorithmic Trader (EA Developer),Madocks PTE LTD,Work from home,4 Months,"₹ 10,000 - 12,500 "
Management,Excelus Communications,Gurgaon,6 Months,"₹ 5,000 - 10,000 "
Founder Office,RegisterKaro,Gurgaon,6 Months,"₹ 10,000 - 20,000 "
Psychology,Brainstem Technologies,Bangalore,3 Months,"₹ 5,000 - 10,000 "
Project Management,Innov8 Solutions Inc.,Work from home,3 Months,"₹ 8,000 - 12,000 "
Sports Content Writer,Trade Brains,Work from home,3 Months,"₹ 10,000 - 12,000 "
Human Resources (HR),Trade Brains,Bangalore,3 Months,"₹ 5,000 - 8,000 "
Update Taker,Budding Mariners,Work from home,4 Months,"₹ 2,000 "
Digital Marketing,Trade Brains,Bangalore,3 Months,"₹ 9,000 - 12,000 "
Market Research,Aleafiaa Pharmaceuticals Private Limited,Thane,2 Months,"₹ 4,500 - 7,000 "
